NU_ANO,CO_UF_ESCOLA,SG_UF_ESCOLA,CO_MUNICIPIO_ESCOLA,NO_MUNICIPIO_ESCOLA,CO_ESCOLA_EDUCACENSO,NO_ESCOLA_EDUCACENSO,TP_DEPENDENCIA_ADM_ESCOLA,TP_LOCALIZACAO_ESCOLA,NU_MATRICULAS,NU_PARTICIPANTES_NEC_ESP,NU_PARTICIPANTES,NU_TAXA_PARTICIPACAO,NU_MEDIA_CN,NU_MEDIA_CH,NU_MEDIA_LP,NU_MEDIA_MT,NU_MEDIA_RED,NU_MEDIA_OBJ,NU_MEDIA_TOT,INSE,PC_FORMACAO_DOCENTE,NU_TAXA_PERMANENCIA,NU_TAXA_APROVACAO,NU_TAXA_REPROVACAO,NU_TAXA_ABANDONO,PORTE_ESCOLA
2008,24,RN,2408003,Mossoró,24003824,UNIAO COLEGIO E CURSO,4,1,95,,45,,,,,,58.78,40.14,,,,,100.0,0.0,0.0,Maior que 90 alunos
2005,24,RN,2413359,Serra do Mel,24003972,EE PE JOSE DE ANCHIETA,2,2,78,,11,,,,,,,,29.95,,,,57.5,6.9,35.6,De 61 a 90 alunos
2006,24,RN,2413359,Serra do Mel,24003972,EE PE JOSE DE ANCHIETA,2,1,102,,27,,,,,,,,32.31,,,,,,,Maior que 90 alunos
2007,24,RN,2413359,Serra do Mel,24003972,EE PE JOSE DE ANCHIETA - RN,2,1,99,,16,,,,,,,,44.32,,,,58.6,3.9,37.5,Maior que 90 alunos
2008,24,RN,2413359,Serra do Mel,24003972,EE PE JOSE DE ANCHIETA - RN,2,1,100,,19,,,,,,50.53,35.67,,,,,67.4,4.4,28.2,Maior que 90 alunos
2005,24,RN,2401008,Apodi,24004219,COLEGIO NOSSA SENHORA DA CONCEICAO,4,1,20,,17,,,,,,,,55.48,,,,94.7,5.3,0.0,De 1 a 30 alunos
2006,24,RN,2401008,Apodi,24004219,COLEGIO NOSSA SENHORA DA CONCEICAO,4,1,29,,25,,,,,,,,46.61,,,,,,,De 1 a 30 alunos
2007,24,RN,2401008,Apodi,24004219,COLEGIO NOSSA SENHORA DA CONCEICAO,4,1,20,,15,,,,,,,,60.17,,,,96.2,3.8,0.0,De 1 a 30 alunos
2008,24,RN,2401008,Apodi,24004219,COLEGIO NOSSA SENHORA DA CONCEICAO,4,1,20,,15,,,,,,55.71,39.68,,,,,97.4,1.3,1.3,De 1 a 30 alunos
2005,24,RN,2401008,Apodi,24004260,EE PROF ANTONIO DANTAS ENS 1 E 2 GR,2,1,306,,164,,,,,,,,41.23,,,,72.9,5.7,21.4,Maior que 90 alunos
2006,24,RN,2401008,Apodi,24004260,EE PROF ANTONIO DANTAS ENS 1 E 2 GR,2,1,341,,196,,,,,,,,40.18,,,,,,,Maior que 90 alunos
2007,24,RN,2401008,Apodi,24004260,EE PROF ANTONIO DANTAS ENS 1 E 2 GR,2,1,972,,108,,,,,,,,47.5,,,,76.5,5.0,18.5,Maior que 90 alunos
2008,24,RN,2401008,Apodi,24004260,ESCOLA ESTADUAL PROF ANTONIO DANTAS,2,1,380,,167,,,,,,56.69,32.15,,,,,75.6,9.1,15.3,Maior que 90 alunos
